Abstract,Choose,Article Title
"Modern agriculture faces conflicting objectives-increasing agricultural production while preserving and fostering biodiversity. As intensive agricultural management threatens biodiversity, legal obligations aim to halt biodiversity loss and safeguard threatened species. In Switzerland, agricultural priority species have been defined to set environmental goals for biodiversity, with limited success so far. This study spatially defines farmland focus zones with potential for the promotion of priority species for conservation in agricultural landscapes. We overlaid information about field-level impact of agricultural activities using the Swiss Agricultural Life Cycle Assessment (SALCA-BD) as impact of agricultural activities with the potential distribution of Swiss priority birds. The potential distribution was assessed by aggregating predictions from species distribution models of 27 bird priority species. We identified significantly high/low values for management impact and potential distribution using hotspot analyses. Multivariate clustering was used to identify zones that should be preserved (low management impact, high bird potential) and zones where conservation measures could be promoted (high management impact, high bird potential). Zones which were minimally impacted by management and had a high potential for birds included grassland with structures, covering ca. 18% of the studied farmland. Zones with high management impacts consisted mainly of arable land with little structures, covering ca. 31% of the studied farmland, occurring mainly in the Swiss lowlands. Our results help to assess and visualize the intertwined links between agricultural management and the species inhabiting these agricultural landscapes in a spatially explicit manner. This can help to identify zones and regions for ecological promotion and set priorities for action within future agricultural policies.",0.0,Identifying focus zones for the conservation and promotion of priority birds in Swiss farmland
"Biofuel production from waste materials offers an effective solution for generating renewable energy in biohydrogen, biogas, and biohythane while reducing waste and recycling valuable nutrients. This review examines recent advances in biohydrogen and biogas production from renewable resources, focusing on the environmental impacts of different production techniques. It emphasizes life cycle analysis (LCA) as an important tool for assessing these impacts and discusses key production pathways and processes. The variability in LCA methodologies - including differences in software, impact categories, system boundaries, functional units, and analytical approaches - poses challenges for direct comparisons of studies. Despite these challenges, fermentation-based production methods show substantial environmental advantages, such as reduced CO2 emissions, diminished ozone depletion potential, improved human health outcomes, lower ecotoxicity, and reduced fossil fuel use. Combining biohydrogen production with anaerobic digestion for biohythane generation demonstrates even greater energy efficiency and greenhouse gas reduction. Adopting waste-to-energy strategies grounded in life cycle principles could advance renewable energy system implementation and sustainability significantly.",0.0,"Evaluating the sustainability of biohydrogen, biogas, and biohythane generation from agricultural, industrial, and municipal waste sources"
"Lunar farming, often regarded as a myth, is regularly practiced in many places around the world (e.g., India) where framers organized their agricultural activities according to moon phases. Early and recent work showed that exposure to moonlight affects the life cycle of plants, from seed germination and vegetative growth to fruit maturation and dispersal. Here we addressed the long-term effect of short exposure to full moonlight (FML) on cellular activities in Brassica juncea by analyzing protein and metabolite profiles immediately after 3-night-exposure (3NE) or 7 and 15 days after exposure (DAE) to FML. This study shows an increase in nuclear size following 3NE to FML, which was accompanied by changes in protein and metabolite profiles. We identified significant alterations in protein and metabolite profiles between FML and dark-treated plants in conjunction with developmental stages, which persisted long after exposure to FML. Most notable are the changes in composition of metabolite interconversion enzymes (MIEs) at various developmental stages which were intensified in FML-treated plants. Changes in MIEs were accompanied by significant alterations in metabolite composition and level, particularly at 15DAE, including branched-chain amino acids (e.g., valine, leucine), multiple sugars (raffinose, glucose, sucrose) as well as the tricarboxylic acid (TCA) cycle intermediates malic acid and citric acid. Thus, our results show that short-term exposure to FML triggers a developmental switch resulting in a long-term impact on plant performance that brings about an increase in cell activities and consequently enhanced growth. Our results call for meticulous research on this lunar phenomenon and its potential to enhance crop plant growth and development.",0.0,Short Exposure to Full Moonlight Has a Long-Term Impact on Brassica juncea Cell Activity and Growth
"The private sector is increasingly engaged in formulating biodiversity strategies that aim to achieve net-positive outcomes. Life cycle impact assessment (LCIA) methodologies are a leading approach for quantifying 'biodiversity footprints', providing baselines for biodiversity mitigation strategies. However, differences between existing LCIA methods remain understudied in this context. Using a large agricultural organisation case study, we compared biodiversity footprints from two LCIA methodologies: LC-IMPACT and ReCiPe2016. Results varied considerably, with LC-IMPACT attributing the largest impacts to international land use change from imported livestock feeds and ReCiPe2016 highlighting the impacts from imported feeds related to other pathways, such as water use, alongside on-farm GHG emissions. These differences suggest that using different methodologies could lead to substantially different corporate biodiversity strategies and sub-optimal prioritisation. To design effective biodiversity strategies, corporations must address uncertainties in biodiversity footprinting methods, and further research is needed to ensure these methodologies drive effective action to combat global biodiversity loss.",1.0,Alternative Life Cycle Impact Assessment Methods for Biodiversity Footprinting Could Motivate Different Strategic Priorities: A Case Study for a Dutch Dairy Multinational
"Eco-innovation technology supports sustainable development, and the transfer process serves as a critical barometer of commercialization and application. Considering the insufficient analysis of eco-innovation technology transfers in existing research, we use semantic association-based natural language processing to identify the trends in eco-innovation patent transfers in China. A comprehensive data search and cleansing process yielded 16,088 transferred ecological patents, categorized into three stages: accumulation and development stage, stable development stage, and rapid development stage. Firms are the primary applicants and assignees for these patents, showing regional imbalances invention activity and patent transfers. Key areas in patent-related R&D include water treatment, microbial technology, agricultural cultivation techniques, and fertilizer preparation. The semantic association network analysis of eco-innovation patent transfers shows six keyword communities during the accumulation and stable development stages, and eight communities during the rapid development stage. The relationship between different communities reflects technological relevance. Technology life cycle analysis predicts promising growth for eco-innovation patent transfers in microbial water treatment, cultivation, ecological environment device design, and genetic modification technology. In contrast, the market demand for technologies in aquaculture, water pollution, solid waste management, livestock breeding, and composite materials appears to be nearing saturation. This study provides valuable insights into eco-innovation, particularly in terms of commercialization and application.",0.0,How China's eco-innovation technology transfer changes: A semantic association-based natural language processing method to analyze Chinese eco-innovation patents
"Viruses represent a diverse pool of obligate parasites that infect virtually every known organism, as such, their study is incredibly valuable for a range of fields including public health, medicine, agriculture, and ecology, and the development of biomedical technologies. Having evolved over millions of years, each virus has a unique and often complicated biology, that must be characterized on a case-by-case basis, even between strains of the same taxon. Owing to its nanoscale spatial resolution, atomic force microscopy (AFM) represents a powerful tool for exploring virus biology, including structural features, kinetics of binding to host cell ligands, virion self-assembly, and budding behaviors. Through the availability of numerous chemistries and advances in imaging modes, AFM is able to explore the complex web of host-virus interactions and life-cycle at a single virus level, exploring features at the level of individual bonds and molecules. Due to the wide array of techniques developed and data analysis approaches available, AFM can provide information that cannot be furnished by other modalities, especially at a single virus level. Here, we highlight the unique methods and informa tion that can be obtained through the use of AFM, demonstrating both its utility and versatility in the study of viruses. As the technology continues to rapidly evolve, AFM is likely to remain an integral part of research, providing unique and important insight into many aspects of virology.",0.0,From viral assembly to host interaction: AFM's contributions to virology
"China is exploring innovative agricultural practices in pursuit of carbon neutrality by 2060. Rooftop agriculture (RA) offers significant benefits by reducing food miles and minimizing food losses. To evaluate the emission reduction potential of RA within the current food system, we used a life cycle assessment (LCA) approach to assess its effectiveness in minimizing food loss-related emissions. The results indicated that, under optimal conditions, RA can reduce total supply chain emissions by 60.98%. It can lower carbon emissions by up to 0.407 kgCO2eq per kilogram of crop production, with each square meter of RA equivalent to 8.44 m2 of conventional planted land. From a broader production perspective, a 1% shift from traditional to rooftop vegetable cultivation can decrease total agricultural production emissions by up to 0.389%.",1.0,Research on negative carbon potential and mechanisms in the productive renewal of Roof gardens
"Drought was shown to cause harm to plants - reducing growth, physiological activity, reproduction, and productivity. In an agricultural aspect, drought means not having sufficient soil moisture required by plants to maintain their normal growth and development throughout the life cycle. Drought is known as the most common environmental stress affecting plants through induced oxidative stress. Being sessile organisms, plants have developed various strategies to cope with water scarcity - escape, avoidance, and tolerance. In this review, we discuss the drought as an environmental factor, oxidative stress induced by drought, and some commonly used endpoints such as MDA and H2O2 for the evaluation of the magnitude of drought stress as well as the contribution of both Proline and HSP70/chaperone involved in the formation of plants tolerance to drought-induced stress. Based on the available data in the literature and our own results, it was shown that both biochemical endpoints MDA and H2O2 could play a dual role - as indicators of the magnitude of drought-induced stress, as well as markers of tolerance to drought. The great contribution of Pro and HSP70 for the formation of increased drought tolerance in plants was analyzed. The dynamics of cytoplasmic HSP70 chaperone levels in bean lines with different resistance to water deficiency revealed that HSP70 family proteins are one of the main components of plant stress tolerance. It could be said that these simple and not expensive endpoints could be successfully applied as early warning signals for revealing drought-induced stress and plants tolerance.",0.0,Early warning signals of drought induced oxidative stress and genotype tolerance. A review
"Extending multi-regional input-output (MRIO) models with spatially explicit life cycle impact assessment (LCIA) models allows practitioners to quantify biodiversity impacts at every step of global supply chains. Inconsistencies may be introduced, however, when high-resolution characterization factors (CFs) are aggregated so as to match the low spatial granularity of MRIO models. These aggregation errors are greater when CFs are aggregated via proxies, such as ecoregion land shares, instead of based on spatially explicit elementary stressor flows. Here, we describe our approach to tailoring application-specific CFs for use in MRIO studies. We apply a global agricultural production model, Spatial Production Allocation Model (MapSPAM), with the LCIA database, LC-IMPACT, to create crop-specific national CFs. We investigated i) if the differing aggregation approaches and the increased spatial explicitness of the constructed CFs deviate substantially from those in LC-IMPACT, and ii) what the resulting consequences for national production and consumption-based biodiversity footprints are when combining the tailor-made CFs with the EXIOBASE MRIO model. For the year 2020, we observe an increase in global production-based biodiversity impacts of 23.5% for land use when employing crop-specific CFs.",0.0,Examining global biodiversity accounts: Implications of aggregating characterization factors from elementary flows in multi-regional input-output analysis
"Ecosystem services are essential for life sustenance but are presently threatened by land use and cover change (LUCC). Meanwhile, policymakers tend to disregard sustainable pathways that enhance ecosystem integrity due to limited empirical evidence of the impacts of LUCC on provisioning ecosystem services. The existing studies largely rely only on geospatial data or use proxy variables without integration of qualitative information. This study employed a blend of geospatial and qualitative approaches to analyse the spatiotemporal dynamics of LUCC and the perceived impact on provisioning ecosystem services in the savannah zone of Ghana. The findings reveal an expansion of cultivated area from 4.59 km2 to 178.63 km2 and a decrease in wooded savannah area from 176.022 km2 to 29.22 km2 between 1990 and 2020 in the Bongo district. Declines in wooded savannah area from 471.685 km2 to 258.38 km2 and expansion of cultivated area from 5.79 km2 to 123.80 km2 from 1990 to 2020 were also observed in the KNW district. In synch with the satellite data, farmers observed expansion in agricultural areas at the expense of wooded savannah area over the past decades. Though farmers highly depend on ecosystems for livelihood needs, the capacity of the ecosystems to continually support their livelihood requirements has decreased over the past decade, and this has resulted in substantial declines in vital provisioning ecosystem services such as cereals, fuelwood, fodder/forage, grazing fields, medicinal plants, wild edible fruits and vegetables. To ameliorate decreasing provisioning ecosystem services, environmental governance policies should promote strategies that restore degraded ecosystems.",0.0,Smallholder farmers' perceived effects of land use and cover change on provisioning ecosystem services in the savannah ecological zone of Ghana
"Rice production in Japan faces severe labour shortage; hence, cutting-edge technologies, such as agricultural unmanned aerial vehicle (UAV) sprayers, are being actively considered and tested for installation in agricultural settings by the government. However, the environmental impacts of agricultural UAV sprayers remain unclear. Here, we aimed to assess the environmental performance of agricultural UAV sprayers in pest control during rice production in Japan, by comparing the environmental impact during pest control by using UAV, power, and boom spraying. We performed life cycle analysis with SimaPro 8 using the ReCiPe 2016 Midpoint (H) methodology and carried out sensitivity analyses to estimate the influence of input variables on emissions as a function of operational area. UAV spraying exhibited a lower environmental impact than did boom- and power spraying - attributed to the weight and fuel consumption of boom and power spraying, which increase the environmental impact associated with material production and energy consumption. Pesticide input remained constant, while the required water volumes for pesticide dilution differed among the sprayers. These results suggest the use of lighter and energy-saving machinery to mitigate the environmental impact of pest control in rice production; UAV spraying was found to be a good alternative to conventional methods.",1.0,Environmental impact of agricultural sprayers used in Japanese rice farming
"Soil amendments are a broad class of materials that enhance physical, chemical or biological characteristics in croplands, pastures, or rangelands. While organic soil amendments such as manure, mulch and seaweed have well established agronomic benefits, there has been renewed private and governmental interest in quantifying and incentivizing their role in mitigating climate change. Likewise, biostimulants and biopesticides, which are intended to target specific plant or microbial processes, are emerging with claims of improved soil health, crop yields, soil organic carbon sequestration, and greenhouse gas emission reductions. We conducted a literature review to address the climate mitigation potential of organic soil amendments, including biostimulants and biopesticides. In doing so, we identify three elements of climate mitigation through the use of soil amendments: soil organic carbon sequestration, soil greenhouse gas emission reductions, and life cycle emission reductions. We review common soil amendment classes in detail, addressing the empirical evidence (or lack thereof) in which they meet these three elements of climate mitigation. We conclude by suggesting priorities for government and private investment.",0.0,"Climate mitigation through soil amendments: quantification, evidence, and uncertainty"
"This study aims to determine the sustainability and energy efficiency of co-pyrolysis scenarios as treatment processes for municipal sewage sludge through a life cycle assessment (LCA). In addition, sensitivity and energy recovery analyses are conducted to determine the possible methods for optimizing the co-pyrolysis process from a circular bioeconomy perspective. Corncob and wood residue have been selected as potential co-feed materials for co-pyrolysis with sewage sludge at three mixing ratios (25, 50, and 75 wt%). The functional unit (FU) for this study is 1000 kg of dried single or mixed feedstock. LCA results indicate that sewage sludge, in a singular pyrolysis scenario, demonstrated the most unfavorable outcome by causing a rise in all negative environmental indicators. In contrast, the overall environmental impacts are reduced by up to 48 %, when the sewage sludge is mixed with co-feed biomass (wood or corncobs), with corncob co-pyrolysis performing better than wood residue in most impact indicators. Energy recovery from a gas turbine provides significant benefits, generating about nine times of the required energy for gas turbine operation and supplying sufficient energy to sustain the whole process. This is notably evident for corncob co-pyrolysis, where the energy produced from gas recovery is equivalent to 59-181 % of energy requirement of the whole process and achieved the highest net positive energy balance (+1368 kWh/FU). Sensitivity analysis indicates that co-pyrolysis is more sensitive to bio-oil yield fluctuations and feedstock transportation. In conclusion, this study establishes that sewage sludge co-pyrolysis is a more environmentally friendly treatment approach when compared to single pyrolysis.",0.0,Sewage sludge co-pyrolysis with agricultural/forest residues: A comparative life-cycle assessment
"Being sessile, plants encounter various biotic and abiotic threats in their life cycle. To minimize the damages caused by such threats, plants have acquired sophisticated response mechanisms. One major such response includes memorizing the encountered stimuli in the form of a metabolite, hormone, protein, or epigenetic marks. All of these individually as well as together, facilitate effective transcriptional and post-transcriptional responses upon encountering the stress episode for a second time during the life cycle and in some instances even in the future generations. This review attempts to highlight the recent advances in the area of plant memory. A detailed understanding of plant memory has the potential to offer solutions for developing climate-resilient crops for sustainable agriculture.",0.0,Understanding plant stress memory traits can provide a way for sustainable agriculture
"Various environmental issues caused by global warming demand urgent action to reduce greenhouse gas emissions. Implementing a carbon neutrality strategy emerges as an effective solution to alleviate environmental pollution. The use of biomass briquette fuel significantly contributes to promoting carbon neutrality. In this study, the life cycle assessment (LCA) method was employed to create a model for assessing carbon reduction in biomass briquette fuel heating systems. The findings suggested that the use of agricultural waste briquette fuel for heating has great potential for carbon neutrality. The utilization of 100,000 tons of biomass briquette fuel by a heating enterprise resulted in a remarkable reduction of 335,679 tons of CO2-eq, equivalent to 91,305 tons of carbon. This substitution also displaced 63,558 tons of coal, leading to a reduction of 5460 tons of SO2 and 1012 tons of PM10. The sensitivity analysis identified that transportation distance, energy consumption, and pollutant removal technologies were the primary drivers influencing carbon reduction. Subsequently, some recommendations were proposed to enhance the carbon neutrality of biomass briquette fuel heating systems. These findings have significant implications for achieving carbon neutrality.",0.0,Research on the improvement of carbon neutrality by utilizing agricultural waste: Based on a life cycle assessment of biomass briquette fuel heating system
"Precision farming technologies have the potential to enhance agricultural sustainability, but their exact envi-ronmental impact remains uncertain. This study aimed to (1) compare the life cycle assessment (LCA) of a conventional five-year crop rotation system with and without precision agriculture technologies (PATs) in Lower Austria; (2) to assess the emission hotspots and (3) to perform a sensitivity analysis on fertilization using the DeNitrification-DeComposition (DNDC) soil model to quantifying soil emission. Evaluated PATs included auto-matic steering systems, automatic section control (ASC), proximal sensors, and prescription maps from remote sensors. The crop rotation system included spring barley, soy, winter wheat, rapeseed, and winter barley. Assessed agricultural processes encompassed tillage, seeding, plant protection, fertilization, and harvesting. The impacts evaluated were climate change, fine particulate matter formation, freshwater eutrophication, freshwater ecotoxicity, terrestrial acidification, terrestrial ecotoxicity, and human carcinogenic toxicity. The sensor scheme scenario showed the highest reductions in climate change, followed by the prescription map, ASC, and autosteer scheme with reductions of-17.0,-8.9,-6.4, and-2.4%, respectively. This study emphasizes the potential of PATs to minimize environmental impacts in crop production while recognizing the influence of site and technology-specific factors. Future research should consider local variables for a comprehensive environmental assessment.",1.0,Life cycle assessment of four different precision agriculture technologies and comparison with a conventional scheme
"Plant factories, being more weather independent, can potentially contribute to global food security under climate change scenarios, but their profitability and environmental sustainability are debatable. This study quantitatively assessed the business sustainability and life-cycle-based carbon footprint of a hypothetical plant factory. A system dynamic model was constructed to simulate yearly profit and global warming potential (GWP) of a 2-ha hypothetical farm over 20 years using experimental data from growing 397 Brassica oleracea and 204 Eruca sativa accessions in a prototype plant factory in Singapore. Experimentally derived parameters include resource use data, maximum potential yield improvement, and the effect of increasing planting density on yield. Model simulations predicted that with accession-wide average yield (status quo), the hypothetical plant factory would meet 0.8 % of the leafy vegetable requirement of the population but earn negative profit. The estimated carbon footprint at the end of the simulation period was approximately 21 kg CO2-eq per kg of vegetables with lighting operations being the major contributor. A univariate-sensitivity analysis was conducted to understand how model parameters could affect the plant factory's profit represented by net present value (NPV) and environmental sustainability represented by GWP. Yield improvement was identified as the strongest influencer of NPV followed by price elasticity and annual fluctuations in vegetable price. Yield improvement was also the strongest influencer of GWP followed by planting density and unit light use. This study acknowledged the importance of crop breeding in plant factories' profit and environmental sustainability. The results indicated breeding high-quality unique varieties with improved yield and light use efficiency can potentially benefit plant factories' business and environmental sustainability.",1.0,How crop breeding programs can improve plant factories' business and environmental sustainability: Insights from a farm level analysis
