model,DOI,Article Title,Label,baseline_prediction,methods_prediction,baseline_input_tokens,methods_input_tokens,token_delta,baseline_generated_tokens,methods_generated_tokens,baseline_elapsed_seconds,methods_elapsed_seconds,elapsed_delta_seconds,baseline_peak_allocated_mb,methods_peak_allocated_mb,peak_allocated_delta_mb,baseline_peak_reserved_mb,methods_peak_reserved_mb,peak_reserved_delta_mb
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2021.150300,Comparative Life Cycle Assessment of two advanced treatment steps for wastewater micropollutants: How to determine whole-system environmental benefits?,1,1,1,470,1024,554,4,4,0.4524489431641996,1.8472233228385448,1.3947743796743453,7489.67822265625,7606.013671875,116.33544921875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.157615,"Life cycle assessment of microalgae systems for wastewater treatment and bioproducts recovery: Natural pigments, biofertilizer and biogas",1,1,1,537,1024,487,4,4,0.4430877100676298,0.520982522983104,0.07789481291547418,7504.009765625,7606.013671875,102.00390625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2022.106475,Reuse of sludge waste in Electro-Fenton:Performance and life cycle assessment,1,1,1,525,1024,499,4,4,0.44775642501190305,1.9328811531886458,1.4851247281767428,7502.876953125,7606.013671875,103.13671875,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2016.02.073,Beyond the conventional life cycle inventory in wastewater treatment plants,1,1,1,601,1024,423,4,4,0.4180407621897757,0.5169866736978292,0.09894591150805354,7518.056640625,7606.013671875,87.95703125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jhazmat.2019.02.036,Assessing the impacts of sewage sludge amendment containing nano-TiO2 on tomato plants: A life cycle study,0,0,0,497,1024,527,4,4,0.4336672439239919,0.5035533891059458,0.06988614518195391,7492.2265625,7606.013671875,113.787109375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jece.2020.104535,Case study on technical feasibility of galvanic wastewater treatment plant based on life cycle assessment and costing approach,1,1,1,383,1024,641,4,4,0.41758686676621437,0.49389357725158334,0.07630671048536897,7465.45166015625,7606.013671875,140.56201171875,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.psep.2024.10.079,Life cycle assessment (LCA) and economic analysis of two-stage anaerobic process of co-digesting palm oil mill effluent (POME) with concentrated latex wastewater (CLW) for biogas production,1,1,1,723,1024,301,4,4,0.459651508834213,0.4843596047721803,0.0247080959379673,7545.5830078125,7606.013671875,60.4306640625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2022.135530,Benchmarking sidestream shortcut nitrogen removal processes against nitrous oxide recovery from a life cycle perspective,1,1,1,565,1023,458,4,4,0.49840761395171285,0.5276531879790127,0.02924557402729988,7506.650390625,7605.919921875,99.26953125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2022.130864,Comparative evaluation of different operation scenarios for a full-scale wastewater treatment plant: Modeling coupled with life cycle assessment,1,1,1,734,1024,290,4,4,0.4743614010512829,0.49192024301737547,0.017558841966092587,7546.6201171875,7606.013671875,59.3935546875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.07.208,Diagnosis and evaluation of an early-stage green bio-sorption reactor by life cycle assessment,1,1,1,462,1024,562,4,4,0.4371728701516986,0.49391363887116313,0.05674076871946454,7488.92333984375,7606.013671875,117.09033203125,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jhazmat.2024.136414,Biochar-bacteria coupling system enhanced the bioremediation of phenol wastewater-based on life cycle assessment and environmental safety analysis,1,1,1,580,1024,444,4,4,0.4487009169533849,0.4881242928095162,0.039423375856131315,7516.07421875,7606.013671875,89.939453125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2018.03.047,Life cycle environmental impacts of advanced wastewater treatment techniques for removal of pharmaceuticals and personal care products (PPCPs),1,1,1,588,1024,436,4,4,1.9969261572696269,0.4981645937077701,-1.4987615635618567,7516.82861328125,7606.013671875,89.18505859375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2023.139562,Carbon footprint of a conventional wastewater treatment plant: An analysis of water-energy nexus from life cycle perspective for emission reduction,1,1,1,601,1024,423,4,4,0.4557944256812334,0.4907858772203326,0.034991451539099216,7518.056640625,7606.013671875,87.95703125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2021.112171,A life cycle assessment of energy recovery using briquette from wastewater grown microalgae biomass,1,1,1,928,1024,96,4,4,1.9798883022740483,0.4900091141462326,-1.4898791881278157,7588.94873046875,7606.013671875,17.06494140625,7604.0,7624.0,20.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2013.12.002,Life-cycle environmental and economic assessment of sewage sludge treatment in China,1,1,1,434,1024,590,4,4,0.4322636001743376,0.48745865281671286,0.05519505264237523,7478.27392578125,7606.013671875,127.73974609375,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2018.10.033,Cradle-to-grave life cycle assessment (LCA) of low-impact-development (LID) technologies in southern Ontario,1,1,1,729,1024,295,4,4,0.49122787406668067,1.7963447449728847,1.305116870906204,7546.14990234375,7606.013671875,59.86376953125,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.spc.2024.12.010,Life cycle assessment of biological nutrient removal considering seasonal variations in environmental impacts,1,1,1,614,1024,410,4,4,0.442710944917053,0.4953044569119811,0.05259351199492812,7519.28173828125,7606.013671875,86.73193359375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.08.300,Life cycle costs of advanced treatment techniques for wastewater reuse and resource recovery from sewage sludge,0,0,0,656,1024,368,4,4,0.4522794699296355,1.893247155006975,1.4409676850773394,7531.251953125,7606.013671875,74.76171875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.envres.2020.110458,Assessment of energy use and environmental impacts of wastewater treatment plants in the entire life cycle: A system meta-analysis,1,1,1,579,1024,445,4,4,0.4417785876430571,0.4966349289752543,0.05485634133219719,7515.98046875,7606.013671875,90.033203125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2024.121710,Economic and environmental benefits of natural treatment systems for sewage treatment: A life cycle perspective,1,0,0,498,1024,526,4,4,0.4674922311678529,0.4942389251664281,0.02674669399857521,7492.3203125,7606.013671875,113.693359375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2019.118410,Life cycle water use and wastewater discharge of steel production based on material-energy-water flows: A case study in China,1,1,1,506,1024,518,4,4,0.42975970171391964,0.4816099922172725,0.05185029050335288,7493.07470703125,7606.013671875,112.93896484375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2022.116967,Performance evaluation and life cycle assessment of electrocoagulation process for manganese removal from wastewater using titanium electrodes,1,1,1,682,1024,342,4,4,0.46834304509684443,0.49089172668755054,0.02254868159070611,7533.70654296875,7606.013671875,72.30712890625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2023.120376,Electrospun nanofibrous membranes for membrane distillation application-A dynamic life cycle assessment (dLCA) approach,1,1,1,544,1024,480,4,4,1.9789568590931594,0.4897168818861246,-1.4892399772070348,7504.66748046875,7606.013671875,101.34619140625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2019.119327,The eco-efficiency assessment of wastewater treatment plants in the city of Mashhad using emergy and life cycle analyses,1,1,1,496,1024,528,4,4,0.4604993527755141,0.4870810587890446,0.026581706013530493,7492.12939453125,7606.013671875,113.88427734375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.biortech.2020.122959,Development and life cycle assessment of an auto circulating bioelectrochemical reactor for energy positive continuous wastewater treatment,1,1,1,454,1024,570,4,4,1.93378785578534,0.5003193020820618,-1.4334685537032783,7488.1689453125,7606.013671875,117.8447265625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.buildenv.2019.106316,Whole building life cycle environmental impacts and costs: A sensitivity study of design and service decisions,1,1,1,510,1024,514,4,4,0.43133205315098166,0.4933189144358039,0.061986861284822226,7493.451171875,7606.013671875,112.5625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2024.143673,Life cycle assessment of an industrial-scale petrochemical wastewater treatment plant,1,1,1,753,1024,271,4,4,0.46547112008556724,1.808379610069096,1.3429084899835289,7548.4140625,7606.013671875,57.599609375,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2021.112802,Assessment of small mechanical wastewater treatment plants: Relative life cycle environmental impacts of construction and operations,1,1,1,601,1024,423,4,4,0.4578507631085813,0.5000733938068151,0.04222263069823384,7518.056640625,7606.013671875,87.95703125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2017.01.016,Improved life cycle modelling of benefits from sewage sludge anaerobic digestion and land application,1,1,1,569,1024,455,4,4,0.490033479873091,2.0017838669009507,1.5117503870278597,7507.0283203125,7606.013671875,98.9853515625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2016.02.064,Comparative life cycle assessment (LCA) study of heterogeneous and homogenous Fenton processes for the treatment of pharmaceutical wastewater,1,1,1,672,1024,352,4,4,0.45140757970511913,0.49608800979331136,0.044680430088192225,7532.76123046875,7606.013671875,73.25244140625,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.07.197,Life cycle assessment of a microbial desalination cell for sustainable wastewater treatment and saline water desalination,1,1,1,529,1024,495,4,4,0.44154790975153446,0.9392436710186303,0.4976957612670958,7503.25537109375,7606.013671875,102.75830078125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2018.12.348,Constructed wetlands for winery wastewater treatment: A comparative Life Cycle Assessment,1,1,1,426,1024,598,4,4,0.422448362223804,0.49154900712892413,0.06910064490512013,7477.51904296875,7606.013671875,128.49462890625,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2012.08.096,Is it better to remove pharmaceuticals in decentralized or conventional wastewater treatment plants? A life cycle assessment comparison,1,1,1,498,1024,526,4,4,0.4422256648540497,0.49402495799586177,0.051799293141812086,7492.3203125,7606.013671875,113.693359375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2023.139307,Technological suitability and improvement for shaping environmental performance: A life cycle perspective on Fenton-based wastewater treatment processes,1,1,1,652,1024,372,4,4,1.9643722060136497,0.4891988830640912,-1.4751733229495585,7530.87548828125,7606.013671875,75.13818359375,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jece.2021.107064,Integrating life cycle assessment and life cycle costing of fluorescent spent lamps recycling by hydrometallurgical processes aimed at the rare earths recovery,1,1,1,546,1024,478,4,4,0.45138861890882254,0.48676586989313364,0.035377250984311104,7504.8583984375,7606.013671875,101.1552734375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2018.02.299,Comparative environmental impact evaluation of palm oil mill effluent treatment using a life cycle assessment approach: A case study based on composting and a combination for biogas technologies in North Sumatera of Indonesia,1,1,1,569,1024,455,4,4,1.8830171157605946,0.494708439335227,-1.3883086764253676,7507.0283203125,7606.013671875,98.9853515625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2013.12.051,Comparative life cycle assessment of wastewater treatment in Denmark including sensitivity and uncertainty analysis,1,1,1,552,1024,472,4,4,0.46180120296776295,0.4946918240748346,0.03289062110707164,7505.42236328125,7606.013671875,100.59130859375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.122930,Techno-economic and life cycle assessment of an integrated hydrothermal carbonization system for sewage sludge,1,1,1,521,1024,503,4,4,0.49235709104686975,1.7321270699612796,1.2397699789144099,7502.50048828125,7606.013671875,103.51318359375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.wri.2022.100184,Using life cycle assessment at an early stage of design and development of zero discharge brine treatment and recovery,1,1,1,470,1024,554,4,4,0.4345961418002844,0.490854237228632,0.05625809542834759,7489.67822265625,7606.013671875,116.33544921875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jwpe.2021.102476,Integrated Life Cycle Assessment and Life Cycle Cost Assessment based fuzzy multi-criteria decision-making approach for selection of appropriate wastewater treatment system,1,1,1,710,1024,314,4,4,0.45898523507639766,1.902295677922666,1.4433104428462684,7544.3564453125,7606.013671875,61.6572265625,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.120575,Life cycle assessment of A2O bioreactor for meat processing wastewater treatment: An endeavor toward the achievement of environmental sustainable development,1,1,1,518,1024,506,4,4,0.43414838006719947,0.5016976660117507,0.06754928594455123,7502.21630859375,7606.013671875,103.79736328125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.159499,Life cycle assessment and techno-economic analysis of nitrogen recovery by ammonia air-stripping from wastewater treatment,1,1,1,639,1024,385,4,4,0.43948130076751113,0.4981948062777519,0.05871350551024079,7521.63916015625,7606.013671875,84.37451171875,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2024.142249,Application of untreated versus pyrolysed sewage sludge in agriculture: A life cycle assessment,1,1,1,655,1024,369,4,4,0.45716700702905655,0.4887297749519348,0.031562767922878265,7531.158203125,7606.013671875,74.85546875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2022.131838,An integrated techno-economic analysis on wastewater reclamation in Hong Kong: A comprehensive cost - Benefit analysis with life cycle assessment,1,1,1,639,1024,385,4,4,0.4609511876478791,0.5145724541507661,0.05362126650288701,7521.63916015625,7606.013671875,84.37451171875,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2016.12.172,Using site-specific life cycle assessment methodology to evaluate Chinese wastewater treatment scenarios: A comparative study of site generic and site-specific methods,1,1,1,476,1024,548,4,4,0.43255634512752295,0.49627571227028966,0.06371936714276671,7490.24365234375,7606.013671875,115.77001953125,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2019.04.034,Life cycle assessment and costing of wastewater treatment systems coupled to constructed wetlands,1,1,1,559,1024,465,4,4,0.4567501712590456,0.4861416630446911,0.029391491785645485,7506.0830078125,7606.013671875,99.9306640625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.envint.2019.105215,Life cycle assessment of decentralized greywater treatment systems with reuse at different scales in cold regions,1,1,1,616,1024,408,4,4,1.9492776351980865,0.49583217268809676,-1.4534454625099897,7519.46923828125,7606.013671875,86.54443359375,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2022.160842,Integrating life cycle assessment with quantitative microbial risk assessment for a holistic evaluation of sewage treatment plant,1,1,1,570,1024,454,4,4,0.4306080248206854,0.5208007842302322,0.09019275940954685,7507.1220703125,7606.013671875,98.8916015625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2016.05.110,Benchmarking wastewater treatment plants under an eco-efficiency perspective,1,1,1,510,1024,514,4,4,1.966408011969179,0.4886917816475034,-1.4777162303216755,7493.451171875,7606.013671875,112.5625,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.wasman.2021.11.005,Environmental performance of dewatered sewage sludge digestate utilization based on life cycle assessment,1,1,1,429,1024,595,4,4,0.4303535562939942,0.49351240042597055,0.06315884413197637,7477.8017578125,7606.013671875,128.2119140625,7488.0,7628.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2024.172891,Life cycle assessment to evaluate the integral water cycle in industrial supply: A real case study,1,1,1,571,1024,453,4,4,0.9171557170338929,1.2939939401112497,0.3768382230773568,7507.2158203125,7606.013671875,98.7978515625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2018.08.237,Assessing the effects of environmentally relevant concentrations of antidepressant mixtures to fathead minnows exposed over a full life cycle,0,0,0,791,1023,232,4,4,0.48649670369923115,0.5519388969987631,0.06544219329953194,7560.0068359375,7605.919921875,45.9130859375,7584.0,7624.0,40.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2019.109362,A comparative life cycle assessment for sustainable cement production in Turkey,1,1,1,560,1023,463,4,4,0.4352773171849549,1.9017610419541597,1.4664837247692049,7506.1767578125,7605.919921875,99.7431640625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2023.166778,Constructed wetlands with recycled concrete for wastewater treatment in cold climate: Performance and life cycle assessment,1,1,1,690,1024,334,4,4,0.45053020119667053,0.5110888998024166,0.06055869860574603,7534.46142578125,7606.013671875,71.55224609375,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2021.150409,"Resource recovery in life cycle assessment of sludge treatment: Contribution, sensitivity, and uncertainty",1,1,1,580,1024,444,4,4,0.4436067519709468,1.0615651072002947,0.6179583552293479,7516.07421875,7606.013671875,89.939453125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2024.141792,Environmental and economic life cycle assessment of emerging sludge treatment routes,1,1,1,578,1024,446,4,4,0.4412165628746152,0.4857741710729897,0.04455760819837451,7515.88671875,7606.013671875,90.126953125,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.122006,Life cycle thinking applied to phytoremediation of dairy wastewater using aquatic macrophytes for treatment and biomass production,1,1,1,677,1024,347,4,4,0.42233836371451616,0.48597357142716646,0.0636352077126503,7533.23486328125,7606.013671875,72.77880859375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2020.141176,Quantifying urban wastewater treatment sector's greenhouse gas emissions using a hybrid life cycle analysis method - An application on Shenzhen city in China,1,1,1,634,1024,390,4,4,1.9337549288757145,0.48702986584976315,-1.4467250630259514,7521.1689453125,7606.013671875,84.8447265625,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.cherd.2023.11.016,Life cycle environmental impact assessment of slaughterhouse wastewater treatment,1,1,1,388,1024,636,4,4,0.4306067801080644,0.49383086478337646,0.06322408467531204,7473.93359375,7606.013671875,132.080078125,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2010.02.009,"Towards sustainability in urban water: a life cycle analysis of the urban water system of Alexandria City, Egypt",1,1,1,455,851,396,4,4,1.9169660708867013,0.47804760187864304,-1.4389184690080583,7488.2626953125,7573.67724609375,85.41455078125,7508.0,7608.0,100.0
Qwen/Qwen3.5-9B,10.1016/j.jenvman.2014.10.011,Selection of odour removal technologies in wastewater treatment plants: A guideline based on Life Cycle Assessment,1,1,1,540,1024,484,4,4,0.4720785031095147,0.4905159790068865,0.01843747589737177,7504.291015625,7606.013671875,101.72265625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2018.11.209,HIT.WATER scheme: An integrated LCA-based decision-support platform for evaluation of wastewater discharge limits,1,1,1,630,1024,394,4,4,0.4440822647884488,1.8136679138988256,1.3695856491103768,7520.791015625,7606.013671875,85.22265625,7542.0,7624.0,82.0
Qwen/Qwen3.5-9B,10.1016/j.watres.2019.115443,Comparative environmental and economic life cycle assessment of high solids anaerobic co-digestion for biosolids and organic waste management,1,1,1,520,1024,504,4,4,0.4375801640562713,0.4951082938350737,0.057528129778802395,7502.40380859375,7606.013671875,103.60986328125,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.biortech.2021.126230,Life cycle and techno-economic assessment of source-separated wastewater-integrated microalgae biofuel production plant: A nutrient organization approach,1,1,1,407,1024,617,4,4,0.4248659969307482,0.9763019671663642,0.551435970235616,7475.7255859375,7606.013671875,130.2880859375,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.resconrec.2024.107469,Life cycle assessment of wastewater reuse alternatives in urban water system,1,1,1,409,1024,615,4,4,0.41834944393485785,0.4870950919575989,0.06874564802274108,7475.916015625,7606.013671875,130.09765625,7486.0,7626.0,140.0
Qwen/Qwen3.5-9B,10.1016/j.mex.2020.101004,Extracting the characteristics of life cycle assessments via data mining,1,1,1,418,1024,606,4,4,0.42821197118610144,0.4881814392283559,0.05996946804225445,7476.7646484375,7606.013671875,129.2490234375,7506.0,7626.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.rineng.2023.101565,"Life cycle cost analysis of sustainable reinforced concrete buildings with treated wastewater, recycled concrete aggregates, and fly ash",0,0,0,525,1024,499,4,4,1.9010033272206783,0.5350480447523296,-1.3659552824683487,7502.876953125,7606.013671875,103.13671875,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.scs.2013.02.003,Estimation of the effects of chemically-enhanced treatment of urban sewage system based on life-cycle management,1,1,1,586,1024,438,4,4,0.4626624188385904,0.4885416110046208,0.025879192166030407,7516.64111328125,7606.013671875,89.37255859375,7544.0,7624.0,80.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2020.123296,A framework for good practices to assess abiotic mineral resource depletion in Life Cycle Assessment,1,1,1,491,1023,532,4,4,2.2690576552413404,0.4909294079989195,-1.778128247242421,7491.6591796875,7605.919921875,114.2607421875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2021.129344,Analysis of the environmental impacts of waterproofing versus conventional vegetable tanning process-A life cycle analysis study,1,1,1,564,1024,460,4,4,0.4423977159895003,0.48739122599363327,0.044993510004132986,7506.55517578125,7606.013671875,99.45849609375,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2013.07.061,Life Cycle Assessment of water treatment: what is the contribution of infrastructure and operation at unit process level?,1,1,1,487,1024,537,4,4,1.1281611239537597,1.1218396732583642,-0.00632145069539547,7491.28125,7606.013671875,114.732421875,7508.0,7628.0,120.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2022.135110,Life cycle analysis of polylactic acids from different wet waste feedstocks,1,1,1,726,1024,298,4,4,0.45693039475008845,0.4979880889877677,0.04105769423767924,7545.86572265625,7606.013671875,60.14794921875,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2019.03.335,"Leather tanning: Life cycle assessment of retanning, fatliquoring and dyeing",1,1,1,658,1024,366,4,4,0.512699771206826,1.8333996362052858,1.3206998649984598,7531.44287109375,7606.013671875,74.57080078125,7564.0,7624.0,60.0
Qwen/Qwen3.5-9B,10.1016/j.scitotenv.2021.146396,The potential of dairy manure and sewage management pathways towards a circular economy: A meta-analysis from the life cycle perspective,1,1,1,571,1024,453,4,4,0.4396768920123577,0.4929284011013806,0.053251509089022875,7507.2158203125,7606.013671875,98.7978515625,7522.0,7624.0,102.0
Qwen/Qwen3.5-9B,10.1016/j.jclepro.2016.10.113,The economic and environmental implications of wastewater management policy in China: From the LCA perspective,1,0,0,392,1024,632,4,4,0.4214081750251353,0.49219774082303047,0.0707895657978952,7474.31005859375,7606.013671875,131.70361328125,7488.0,7628.0,140.0
